Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C20, C21, C22, C23, C24, C25, C26, C4, C7, C8",0805,13,22u,
"C11, C9",1206,2,22p,
"C13, C14, C15, C17, C19, C3, C5, C6",0805,8,100n,
C16,CP_EIA-3528-12_Kemet-T_HandSolder,1,10u,
C18,0805,1,2.2n,
"D1, D3, D4, D5, D6",D_SOD-323_HandSoldering,5,1N5819WS,
"D10, D2, D7, D8, D9",0805,5,LED,
D11,D_SOD-323,1,1N5819WS,
J1,PinSocket_1x02_P2.54mm_Vertical,1,BATT,
J2,PinSocket_1x06_P2.54mm_Vertical,1,FTDI,
J3,ICSP_PAD,1,ICSP,
J4,PinSocket_1x02_P2.54mm_Vertical,1,FR,
J5,PinSocket_1x02_P2.54mm_Vertical,1,FL,
J6,PinSocket_1x02_P2.54mm_Vertical,1,BL,
J7,PinSocket_1x02_P2.54mm_Vertical,1,BR,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,5V SHORT,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,5V SHORT,
L1,L_APV_ANR4020,1,10u,
"Q1, Q2, Q3, Q4",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,4,Si2302,C10488
"R1, R10, R11, R2, R3, R7, R8, R9",0805,8,10K,
"R12, R13, R14, R15, R4",0805,5,4.7K,
R16,0603,1,10K,
R17,0603,1,1.3K,
"R5, R6",0805,2,5.1K,
SW1,MSS2D18,1,MSS-22D18,
SW2,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
U1,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,1,HT7833,C50936
U2,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U3,TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,1,ATMEGA328P-AU,C14877
U4,FootprintsKeyplus_nordic.prettyNRF24L01-Module-SMD,1,NRF24L01_Breakout_smd,
U5,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,MSDB628,C30197563
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
