Designator,Mid X,Mid Y,Rotation,Layer
C1,125.1,-123.05,90.0,top
C10,162.14875,-127.85,0.0,top
C11,133.133894,-117.535341,205.0,top
C12,154.27875,-121.985,270.0,top
C13,151.73,-122.07,270.0,top
C14,155.4525,-103.15,0.0,top
C15,138.26,-101.32,180.0,top
C16,141.5925,-91.7775,180.0,top
C17,137.38,-97.8875,270.0,top
C18,146.08,-96.48,90.0,top
C19,155.19,-112.29,0.0,top
C20,167.08,-84.96,45.0,top
C21,120.07,-85.78,45.0,top
C22,119.48,-135.4,135.0,top
C23,163.423623,-133.236377,45.0,top
C24,127.9375,-104.325,0.0,top
C25,130.1375,-96.025,0.0,top
C26,127.9375,-106.45,0.0,top
C3,139.3375,-107.845,0.0,bottom
C4,139.3225,-110.07,0.0,bottom
C5,155.2025,-110.08,0.0,top
C6,153.31,-91.09,0.0,top
C7,153.3475,-93.27,0.0,top
C8,162.08875,-125.32,0.0,top
C9,132.043894,-115.245341,205.0,top
D1,155.465,-105.575,0.0,top
D10,116.925216,-136.005216,225.0,bottom
D11,124.675,-104.575,90.0,top
D2,155.8,-116.015,270.0,top
D3,173.37,-78.51,315.0,top
D4,113.163883,-78.826117,45.0,top
D5,111.95,-140.22,135.0,top
D6,173.32,-138.68,225.0,top
D7,171.33,-80.5625,225.0,bottom
D8,114.547893,-80.732107,135.0,bottom
D9,168.205216,-134.004784,135.0,bottom
J1,121.82,-125.13,180.0,top
J2,160.45,-108.26,180.0,top
J3,152.35,-118.2,180.0,bottom
J4,175.74197461210693,-76.11197461210692,45.0,top
J5,110.53611761210692,-75.92388338789308,135.0,top
J6,109.69802538789308,-142.64802538789309,225.0,top
J7,176.07197438789308,-140.99802561210691,315.0,top
JP1,121.64985226280623,-131.2049,30.0,top
JP2,125.825,-112.9,0.0,top
L1,126.05,-100.275,270.0,top
Q1,168.925076,-80.358579,135.0,top
Q2,117.266827,-80.913173,45.0,top
Q3,113.318579,-136.425076,135.0,top
Q4,171.71,-134.52,45.0,top
R1,154.66,-95.99,180.0,top
R10,115.653503,-138.976497,45.0,top
R11,169.26,-136.91,315.0,top
R12,172.842893,-79.102893,45.0,bottom
R13,116.04,-82.27,315.0,bottom
R14,169.768109,-135.611891,315.0,bottom
R15,115.497323,-137.487323,45.0,bottom
R16,125.9375,-108.9,0.0,top
R17,129.5375,-108.875,0.0,top
R2,154.72,-98.15,0.0,top
R3,141.6,-103.21,90.0,top
R4,153.76,-115.985,90.0,top
R5,145.57,-100.81,90.0,top
R6,147.61,-100.86,90.0,top
R7,135.08,-97.89,270.0,top
R8,171.602893,-82.177107,45.0,top
R9,114.67,-83.72,315.0,top
SW1,131.3199,-124.73,270.0,top
SW2,136.6,-104.36,0.0,top
U1,156.957081,-126.79,180.0,top
U2,150.77,-96.325,0.0,top
U3,147.28,-109.96,180.0,top
U4,143.465,-123.24,90.0,top
U5,141.62,-96.8775,270.0,top
U6,130.575,-100.25,90.0,top
Y1,137.25000055864732,-113.10000000036943,295.0,top
